LAFERRERE, GREGORIO DE;1500;56;89000;1589,3;2;3;2;45;;CONTRAFRENTE;POR ESCALERA;;;0;SI;SI;;;ZONAPROP.COM_PARQUE CHACABUCO;1500 LAFERRERE, GREGORIO DE;GREGORIO DE LAFERRERE;97;L;PARQUE CHACABUCO;7;3.833.086.018;4
        CUCHA CUCHA;2300;65;127000;1953,8;PB;3;2;15;;;;;SI;0;;;PATIO;;ZONAPROP.COM_PATERNAL;2300 CUCHA CUCHA;CUCHA CUCHA;100;L;PATERNAL;15;2.229.856.457;3
        11 DE SEPTIEMBRE DE 1888;900;350;880000;2514,3;;4;3;30;;FRENTE;TRIPLEX;SI;SI;5;SI;;TERRAZA;;ZONAPROP/BELGRANO;900 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1100;200;545000;2726,2;;5;4;38;;FRENTE;;SI;SI;2;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1100 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        RIVADAVIA;9300;49;75000;1530,6;3;2;1;1;;FRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/VILLALURO;9300 RIVADAVIA;AV. RIVADAVIA;100;L;VILLA LURO;10;2.566.739.336;3
        PEÑA;2500;43;143400;3334,9;4;0;0;;A ESTRENAR;FRENTE;;;;0;;;BALCON;;INMUEBLESCLARIN.COM/BARIO NORTE;2500 PEÑA;PEÑA;100;L;RECOLETA;2;6.146.826.409;2
        LA FACULTAD;1400;135;125000;925,9;;5;4;;;FRENTE;;SI;;0;SI;SI;TERRAZA;;ZONAPROP.COM_PARQUE AVELLANEDA;1400 LA FACULTAD;LA FACULTAD;37;;PARQUE AVELLANEDA;9;5.034.992.076;4
        GUEMES;3500;184;400000;2173,9;2;3;3;;;FRENTE;;;SI;2;SI;SI;BALCON;;ARGENPROP.COM/PALERMO;3500 GUEMES;GÜEMES;100;L;PALERMO;14;15.773.573.191;2
        THAMES;2300;36;155000;4305,6;;0;0;6;;FRENTE;;SI;SI;1;;;TERRAZA;;ARGENPROP.COM/PALERMO;2300 THAMES;THAMES;100;L;PALERMO;14;15.773.573.191;2
        PASCO;600;96;125000;1302,1;;2;1;;;INTERNO;;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_SAN CRISTOBAL;600 PASCO;PASCO;100;L;BALVANERA;3;4.341.063.997;3
