CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        GARAY, JUAN DE;1200;73;87000;1191,8;;3;2;45;;FRENTE;;;;2;SI;SI;;;ZONAPROP/CONSTITUCION;1200 GARAY, JUAN DE;AV. JUAN DE GARAY;95;L;CONSTITUCION;1;2.102.671.125;4
        ITUZAINGO;900;82;173460;2115,4;;3;2;10;;FRENTE;;;;2;SI;SI;;;INMUEBLESCLARIN.COM/BARRACAS;900 ITUZAINGO;ITUZAINGO;100;L;BARRACAS;4;7.878.302.179;4
        MISTRAL, GABRIELA;3100;149;265000;1778,5;5;3;3;29;;CONTRAFRENTE;;;SI;3;;;BALCON TERRAZA;;ARGENPROP.COM/VILLAPUEYRREDON;3100 MISTRAL, GABRIELA;GABRIELA MISTRAL;96;L;VILLA PUEYRREDON;12;3.302.910,10;3
        SARMIENTO;3500;56;115000;2053,6;11;2;2;35;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/ALMAGRO;3500 SARMIENTO;SARMIENTO;100;L;ALMAGRO;5;4.051.222.618;3
        11 DE SEPTIEMBRE DE 1888;1300;350;1490000;4257,1;;5;4;22;;FRENTE;;SI;SI;5;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        MELINCUE;2600;38;90000;2368,4;;3;2;10;;FRENTE;;SI;SI;0;SI;SI;TERRAZA;;ZONAPROP.COM_VILLA DEL PARQUE;2600 MELINCUE;MELINCUE;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
        GUTIERREZ, JUAN MARIA;2500;48;130000;2708,3;4;0;0;;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/BARRIONORTE;2500 GUTIERREZ, JUAN MARIA;JUAN MARIA GUTIERREZ;34;;RECOLETA;2;6.146.826.409;2
        GORRITI;3700;150;249000;1660;;3;2;;A ESTRENAR;CONTRAFRENTE;DUPLEX;;;1;SI;;TERRAZA;;ARGENPROP.COM/PALERMO;3700 GORRITI;GORRITI;100;L;PALERMO;14;15.773.573.191;2
        ECUADOR;500;95;119000;1252,6;1;3;2;35;;FRENTE;;;;0;SI;SI;BALCON;;ARGENPROP.COM/BALVANERA;500 ECUADOR;ECUADOR;100;L;BALVANERA;3;4.341.063.997;3
        FRAY JUSTO SANTAMARIA DE ORO;2800;53;218000;4113,2;;1;1;;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/PALERMO;2800 FRAY JUSTO SANTAMARIA DE ORO;FRAY JUSTO SANTA MARIA DE ORO;95;L;PALERMO;14;15.773.573.191;2
        IRIGOYEN;1600;80;155000;1937,5;;4;3;10;;;;;SI;2;;;;;ZONAPROP.COM_VERSALLES;1600 IRIGOYEN;IRIGOYEN;100;L;MONTE CASTRO;10;2.625.868.961;3
        11 DE SEPTIEMBRE DE 1888;2100;215;430000;2000;;4;3;;;CONTRAFRENTE;DUPLEX;;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;2100 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;37;;BELGRANO;13;7.929.988.805;2
        MITRE, BARTOLOME;4000;62;118000;1903,2;6;3;2;44;;CONTRAFRENTE;;;;2;SI;;;;INMUEBLESCLARIN.COM/ALMAGRO;4000 MITRE, BARTOLOME;BARTOLOME MITRE;95;L;ALMAGRO;5;4.051.222.618;3
        PUEYRREDON;1400;100;215000;2150;9;2;2;70;;FRENTE;;;;2;;SI;BALCON;;ARGENPROP.COM/BARRIONORTE;1400 PUEYRREDON;AV. PUEYRREDON;100;L;RECOLETA;2;6.146.826.409;2
        MEXICO;600;128;138000;1078,1;;4;3;50;;INTERNO;;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_MONSERRAT;600 MEXICO;MEXICO;100;L;MONTSERRAT;1;2.200.624.563;1
        DIAZ CNEL.;2100;250;980000;3920;;5;4;20;;CONTRAFRENTE;;;SI;3;SI;;TERRAZA;;ZONAPROP/BARRIO NORTE;2100 DIAZ CNEL.;AV. CORONEL DIAZ;88;L;RECOLETA;2;6.146.826.409;2
        FLORIDA;1000;282;850000;3009,1;;5;3;70;;FRENTE;;;;3;SI;SI;;;ZONAPROP/BARRIO NORTE;1000 FLORIDA;FLORIDA;37;;RETIRO;1;4.547.765.746;1
        PARAGUAY;2300;51;148000;2902;4;3;2;35;;CONTRAFRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/BARRIONORTE;2300 PARAGUAY;PARAGUAY;100;L;RECOLETA;2;6.146.826.409;2
