CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        11 DE SEPTIEMBRE DE 1888;800;46;149500;3250;;1;1;;;;DUPLEX;;;1;;;;;ARGENPROP.COM/PALERMO;800 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;900;350;880000;2514,3;;4;3;30;;FRENTE;TRIPLEX;SI;SI;5;SI;;TERRAZA;;ZONAPROP/BELGRANO;900 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1100;200;545000;2726,2;;5;4;38;;FRENTE;;SI;SI;2;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1100 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1300;290;1100000;3793,1;;4;3;;;;;SI;SI;3;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1300;350;1490000;4257,1;;5;4;22;;FRENTE;;SI;SI;5;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1400;255;780000;3058,8;;5;4;35;;FRENTE;;SI;SI;3;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1400 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        11 DE SEPTIEMBRE DE 1888;1600;200;1100000;5500;;4;3;7;;FRENTE;;SI;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1600 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;1600;320;1150000;3593,8;;5;5;50;;FRENTE;;SI;;5;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1600 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;1800;81;159000;1963;;1;1;;A ESTRENAR;FRENTE;;;;1;SI;;TERRAZA;;ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;1800;299;815000;2725,8;;5;4;45;;FRENTE;;;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;1800;300;1070000;3566,7;;5;4;30;;FRENTE;;;SI;5;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1800 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;2100;215;430000;2000;;4;3;;;CONTRAFRENTE;DUPLEX;;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;2100 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;37;;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;2600;110;246000;2236,4;;3;2;;;FRENTE;;;SI;2;;;TERRAZA;;ZONAPROP/BELGRANO;2600 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;2700;67;123000;1835,8;;1;1;;A ESTRENAR;CONTRAFRENTE;;SI;;1;SI;;TERRAZA;;ZONAPROP/BELGRANO;2700 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;BELGRANO;13;7.929.988.805;2
        11 DE SEPTIEMBRE DE 1888;3900;76;300000;3947,4;;3;2;9;;FRENTE;;;SI;2;SI;;TERRAZA;;BUSCAINMUEBLE/NUÑEZ;3900 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13;4.351.538.489;2
        11 DE SEPTIEMBRE DE 1888;4000;40;106000;2650;5;1;1;;;FRENTE;;;;1;;;TERRAZA;;BUSCAINMUEBLE/NUÑEZ;4000 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13;4.351.538.489;2
