VIAMONTE;1500;490;600000;1224,5;;6;5;;;FRENTE;;;;5;SI;;;A REF;ZONAPROP.COM_TRIBUNALES;1500 VIAMONTE;VIAMONTE;100;L;SAN NICOLAS;1;2.288.975.233;1
DUMONT, SANTOS;3500;52;99900;1921,2;;3;2;5;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/PALERMO;3500 DUMONT, SANTOS;SANTOS DUMONT;95;L;CHACARITA;15;3.118.091.649;3
FRAGA;700;71;135000;1901,4;;2;1;;A ESTRENAR;FRENTE;;;SI;1;;;TERRAZA;;ZONAPROP/CHACARITA;700 FRAGA;FRAGA;100;L;CHACARITA;15;3.118.091.649;3
PERON, EVA;1000;41;82200;2004,9;;1;0;;A ESTRENAR;CONTRAFRENTE;;SI;SI;0;SI;SI;BALCON TERRAZA;;ZONAPROP.COM_PARQUE CHACABUCO;1000 PERON, EVA;AV. EVA PERON;31;;PARQUE CHACABUCO;7;3.833.086.018;4
ROOSEVELT FRANKLIN D.;5000;78;134000;1717,9;PB;0;0;;;;;;;0;;;PATIO;;ARGENPROP.COM/VILLAURQUIZA;5000 ROOSEVELT FRANKLIN D.;AV. FRANKLIN D. ROOSEVELT;96;L;VILLA URQUIZA;12;5.448.470.069;3
FORMOSA;200;72;186000;2584,8;;3;2;;A ESTRENAR;FRENTE;;;;2;SI;;TERRAZA;;ZONAPROP/CABALLITO;200 FORMOSA;FORMOSA;100;L;CABALLITO;6;6.851.079.059;3
CORDOBA;2700;40;100000;2500;;0;0;;;;;;;0;;;;;ZONAPROP/ABASTO;2700 CORDOBA;AV. CORDOBA;100;L;BALVANERA;3;4.341.063.997;3
VIAMONTE;300;63;110000;1746;;3;2;35;;FRENTE;;;;0;SI;;;;ZONAPROP/CENTRO;300 VIAMONTE;VIAMONTE;100;L;SAN NICOLAS;1;2.288.975.233;1
FREIRE, RAMON, CAP. GRAL.;2400;70;239000;3414,3;;3;2;;A ESTRENAR;CONTRAFRENTE;;;SI;2;SI;;TERRAZA;;ZONAPROP/COGHLAN;2400 FREIRE, RAMON, CAP. GRAL.;CAPITAN GENERAL RAMON FREIRE;89;L;BELGRANO;13;7.929.988.805;2
DEL LIBERTADOR;5500;70;184000;2628,6;;3;2;;;FRENTE;;;SI;1;SI;;TERRAZA;;ZONAPROP/BELGRANO;5500 DEL LIBERTADOR;AV. DEL LIBERTADOR;100;L;BELGRANO;13;7.929.988.805;2
TUNEZ;2500;102;210000;2058,8;;3;2;;;FRENTE;;;;2;;;TERRAZA;;ZONAPROP/BELGRANO;2500 TUNEZ;TUNEZ;37;;BELGRANO;13;7.929.988.805;2
BALCARCE, FLORENCIO;100;160;370000;2312,5;;4;3;40;;FRENTE;;SI;SI;2;SI;;TERRAZA;;ZONAPROP/CABALLITO;100 BALCARCE, FLORENCIO;FLORENCIO BALCARCE;96;L;CABALLITO;6;6.851.079.059;3
SANTA FE;1100;23;69900;3039,1;;2;1;40;;LATERAL;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;1100 SANTA FE;AV. SANTA FE;100;L;RETIRO;1;4.547.765.746;1
POSADAS;1323;46;125000;2717,4;9;2;1;35;;CONTRAFRENTE;;SI;;0;SI;;PATIO;;INMUEBLESCLARIN.COM/BARIO NORTE;1323 POSADAS;POSADAS;100;R;RECOLETA;2;6.146.826.409;2
LIVERPOOL;2800;53;85000;1603,8;;0;0;;A ESTRENAR;FRENTE;;;;1;;;TERRAZA;;ARGENPROP.COM/VILLAURQUIZA;2800 LIVERPOOL;LIVERPOOL;37;;PARQUE CHAS;15;1.384.889.921;3
REGIMIENTO DE PATRICIOS;800;65;130000;2000;;2;1;;A ESTRENAR;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BARRACAS;800 REGIMIENTO DE PATRICIOS;AV. REGIMIENTO DE PATRICIOS;100;L;BARRACAS;4;7.878.302.179;4
CABILDO;3900;31;87000;2806,5;10;1;1;;A ESTRENAR;FRENTE;;;;1;;;;;BUSCAINMUEBLE/NUÑEZ;3900 CABILDO;AV. CABILDO;100;L;SAAVEDRA;12;5.536.171.349;2
SANTA FE;2100;150;399000;2660;8;3;3;82;;FRENTE;SEMIPISO;SI;;2;SI;SI;BALCON;;ARGENPROP.COM/BARRIONORTE;2100 SANTA FE;AV. SANTA FE;100;L;RECOLETA;2;6.146.826.409;2
GODOY CRUZ;2500;48;95000;1979,2;2;3;2;45;;CONTRAFRENTE;POR ESCALERA;;;1;;;TERRAZA;;ARGENPROP.COM/PALERMO;2500 GODOY CRUZ;GODOY CRUZ;100;L;PALERMO;14;15.773.573.191;2
GURRUCHAGA;200;92;220000;2391,3;13;3;3;35;;FRENTE;;;;1;SI;SI;BALCON;;ARGENPROP.COM/VILLACRESPO;200 GURRUCHAGA;GURRUCHAGA;100;L;VILLA CRESPO;15;3.613.373.642;3
REPUBLICA ARABE-SIRIA;3100;40;77000;1925;PB;2;1;40;;INTERNO;;;;1;;;PATIO;;ARGENPROP.COM/PALERMO;3100 REPUBLICA ARABE-SIRIA;REPUBLICA ARABE-SIRIA;93;L;PALERMO;14;15.773.573.191;2
RIVADAVIA;3200;72;110000;1527,8;2;4;3;40;;FRENTE;;;;0;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/ALMAGRO;3200 RIVADAVIA;AV. RIVADAVIA;100;L;BALVANERA;3;4.341.063.997;3
LOPEZ, CARLOS ANTONIO;4100;43;98000;2279,1;1;0;0;;A ESTRENAR;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLADEVOTO;4100 LOPEZ, CARLOS ANTONIO;CARLOS ANTONIO LOPEZ;96;L;VILLA DEVOTO;11;6.403.818.336;3
CORRIENTES;3900;75;152000;2026,7;5;2;2;;;FRENTE;;SI;SI;1;;;BALCON;;ARGENPROP.COM/ALMAGRO;3900 CORRIENTES;AV. CORRIENTES;100;L;ALMAGRO;5;4.051.222.618;3
GOYENA, PEDRO;1100;140;385000;2750;;4;3;9;;FRENTE;;SI;SI;3;SI;;TERRAZA;;ZONAPROP/CABALLITO;1100 GOYENA, PEDRO;AV. PEDRO GOYENA;94;L;CABALLITO;6;6.851.079.059;3
BURELA;2100;32;69500;2171,9;1;0;0;;A ESTRENAR;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2100 BURELA;BURELA;100;L;VILLA URQUIZA;12;5.448.470.069;3
GARAY, JUAN DE;700;44;125000;2840,9;6;2;1;3;;FRENTE;;;SI;0;;;BALCON;;ZONAPROP.COM_SAN TELMO;700 GARAY, JUAN DE;AV. JUAN DE GARAY;95;L;SAN TELMO;1;1.233.152,82;4
SARANDI;1100;433;650000;1501,2;;5;4;;;;;;SI;0;;SI;;;ZONAPROP.COM_SAN CRISTOBAL;1100 SARANDI;SARANDI;100;L;SAN CRISTOBAL;3;2.043.952.644;4
PLAZA;2400;50;90000;1800;;3;2;;;INTERNO;;;;1;SI;;;;ZONAPROP/COGHLAN;2400 PLAZA;PLAZA;100;L;VILLA URQUIZA;12;5.448.470.069;3
HOLMBERG;2400;50;97000;1940;;1;1;;A ESTRENAR;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/COGHLAN;2400 HOLMBERG;HOLMBERG;100;L;VILLA URQUIZA;12;5.448.470.069;3
NAVARRO;4700;180;250000;1388,9;2;4;4;;;FRENTE;;;SI;1;;SI;TERRAZA;;ARGENPROP.COM/VILLADEVOTO;4700 NAVARRO;NAVARRO;100;L;VILLA DEVOTO;11;6.403.818.336;3
SUPERI;4300;53;125000;2358,5;;2;1;;A ESTRENAR;CONTRAFRENTE;DUPLEX;;;1;;;TERRAZA;;BUSCAINMUEBLE/SAAVEDRA;4300 SUPERI;SUPERI;100;L;SAAVEDRA;12;5.536.171.349;2
